Data;Jogo;Mercado;Casa;Odd;Stake;EV%;Tier;Resultado;P&L;Cashout
2026-06-22;Nova Zelândia vs Egito;Nova Zelândia;KTO;5.3;0.5;15.36;S;pending;;
2026-06-19;EUA vs Austrália;Austrália;KTO;5;0.5;11.13;S;pending;;
2026-06-18;Suíça vs Bósnia e Herzegovina;Bósnia e Herzegovina;KTO;6.25;0.5;10.53;S;pending;;
2026-06-14;Austrália vs Turquia;Austrália;KTO;6;0.5;10.5;S;pending;;
2026-06-13;Brasil vs Marrocos;Empate;KTO;3.95;50;50.1;S;pending;;
2026-06-12;Canadá vs Bósnia & Herzegovina;Bósnia;KTO;4.75;0.5;9.7;S;loss;-0.5;
2026-06-12;EUA vs Paraguai;EUA;KTO;2.12;0.5;7.1;S;win;0.56;
2026-06-14;Suécia vs Tunísia;Tunísia;KTO;4.4;0.5;5.57;S;pending;;
2026-06-16;França vs Senegal;Senegal;KTO;8;0.5;5.57;S;pending;;
2026-06-16;Argentina vs Argélia;Argélia;KTO;10;0.5;6.08;S;pending;;
2026-06-17;Áustria vs Jordânia;Empate;KTO;5.8;0.5;3.14;A;pending;;
2026-06-17;Inglaterra vs Croácia;Croácia;KTO;5.4;0.5;2.79;B;pending;;
