Data;Jogo;Mercado;Casa;Odd;Stake;EV%;Tier;Resultado;P&L;Cashout;FreeBet
2026-06-07;Brasil vs Marrocos;Empate;KTO;3,95;50;50,1;S;win;147,50;;SIM
2026-06-12;Canadá vs Bósnia & Herzegovina;Bósnia;KTO;4,75;0,5;9,7;S;loss;-0,50;;
2026-06-12;EUA vs Paraguai;EUA;KTO;2,12;0,5;7,1;S;win;0,56;;
2026-06-13;Austrália vs Turquia;Austrália;KTO;6,0;0,5;10,5;S;cashout;0,68;1,18;
2026-06-13;Arábia Saudita vs Uruguai;Arábia Saudita;KTO;9,0;0,5;;;cashout;0,00;0,50;
2026-06-14;Suécia vs Tunísia;Tunísia;KTO;4,4;0,5;5,57;S;pending;;;
2026-06-15;Bélgica vs Egito;Egito;KTO;6,1;0,5;5,9;S;pending;;;
2026-06-15;Espanha vs Cabo Verde;Cabo Verde;KTO;26,0;0,5;23,05;S;pending;;;
2026-06-16;França vs Senegal;Senegal;KTO;8,0;0,5;5,57;S;pending;;;
2026-06-16;Argentina vs Argélia;Argélia;KTO;10,0;0,5;6,08;S;pending;;;
2026-06-17;Áustria vs Jordânia;Empate;KTO;5,8;0,5;3,14;A;pending;;;
2026-06-17;Inglaterra vs Croácia;Croácia;KTO;5,4;0,5;2,79;B;pending;;;
2026-06-18;Suíça vs Bósnia e Herzegovina;Bósnia e Herzegovina;KTO;6,25;0,5;10,53;S;pending;;;
2026-06-18;Chéquia vs África do Sul;África do Sul;KTO;4,9;0,5;6,29;S;pending;;;
2026-06-18;Canadá vs Catar;Catar;KTO;12,5;0,5;10,62;S;pending;;;
2026-06-19;EUA vs Austrália;Austrália;KTO;5,0;0,5;11,13;S;pending;;;
2026-06-22;Nova Zelândia vs Egito;Nova Zelândia;KTO;5,3;0,5;15,36;S;pending;;;
